time_ps,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
24861000000,1741,1805,1850,1899,1939,1967,1990,2003,2004,2005,1988,1959,1940,1891,1830,1790
24862000000,1710,1619,1557,1448,1328,1246,1109,963,864,704,536,422,244,61,-63,-254
24864000000,-446,-578,-773,-968,-1100,-1292,-1481,-1610,-1791,-1966,-2085,-2247,-2400,-2504,-2639,-2762
24866000000,-2846,-2947,-3033,-3092,-3153,-3197,-3228,-3244,-3242,-3240,-3208,-3156,-3122,-3039,-2938,-2870
24867000000,-2738,-2589,-2488,-2310,-2115,-1983,-1763,-1529,-1371,-1115,-849,-669,-387,-98,97,395
24869000000,697,901,1205,1507,1712,2009,2300,2583,2774,3041,3295,3467,3698,3912,4056,4240
24871000000,4403,4512,4638,4741,4809,4870,4906,4927,4918,4881,4854,4770,4659,4581,4423,4239
24872000000,4111,3882,3627,3453,3159,2842,2626,2274,1905,1654,1257,848,570,143,-291,-585
24874000000,-1028,-1471,-1771,-2211,-2646,-2939,-3359,-3767,-4041,-4424,-4788,-5030,-5358,-5661,-5862,-6119
24876000000,-6346,-6495,-6668,-6806,-6895,-6974,-7015,-7037,-7015,-6952,-6905,-6777,-6610,-6491,-6259,-5990
24877000000,-5803,-5472,-5107,-4709,-4436,-3986,-3508,-3182,-2662,-2121,-1753,-1182,-596,-201,401,1009
24879000000,1418,2028,2634,3041,3635,4216,4603,5156,5687,6039,6527,6985,7286,7688,8052,8288
24881000000,8584,8837,8997,9172,9298,9372,9416,9408,9390,9295,9148,9036,8803,8518,8314,7946
24882000000,7530,7240,6748,6214,5845,5245,4610,4176,3489,2776,2291,1542,776,259,-524,-1313
24884000000,-1842,-2631,-3412,-3934,-4695,-5438,-5929,-6632,-7306,-7747,-8363,-8937,-9311,-9811,-10262,-10549
24886000000,-10912,-11218,-11465,-11613,-11758,-11840,-11875,-11850,-11758,-11677,-11477,-11212,-11015,-10645,-10213,-9905
24887000000,-9374,-8788,-8379,-7705,-6984,-6488,-5695,-4866,-4300,-3416,-2508,-1894,-953,0,638,1600
24889000000,2561,3200,4146,5075,5690,6582,7444,8008,8810,9568,10058,10736,11359,11755,12279,12739
24891000000,13023,13370,13648,13805,13959,14038,14062,14013,13887,13773,13519,13191,12941,12490,11967,11591
24892000000,10956,10257,9766,8970,8120,7533,6603,5634,4972,3945,2892,2180,1094,0,-735,-1837
24894000000,-2933,-4018,-4736,-5790,-6816,-7488,-8457,-9384,-9982,-10827,-11616,-12117,-12803,-13422,-13804,-14303
24896000000,-14726,-14972,-15262,-15470,-15570,-15638,-15620,-15569,-15408,-15164,-14962,-14579,-14115,-13768,-13176,-12509
24897000000,-12030,-11249,-10404,-9811,-8871,-7880,-7195,-6131,-5031,-4283,-3136,-1970,-1185,0,1185,1975
24899000000,3152,4313,5077,6199,7289,7997,9020,9995,10619,11503,12326,12840,13550,14187,14571,15078
24901000000,15503,15742,16026,16223,16307,16356,16317,16242,16054,15778,15548,15130,14629,14049,13620,12914
24902000000,12137,11582,10698,9756,9097,8070,6999,6263,5132,3974,3190,2000,801,0,-1202,-2397
24904000000,-3185,-4352,-5494,-6237,-7324,-8370,-9039,-10004,-10913,-11483,-12287,-13025,-13473,-14087,-14624,-14933
24906000000,-15334,-15651,-15810,-15984,-16069,-16073,-16012,-15865,-15713,-15424,-15051,-14751,-14245,-13662,-13227,-12525
24907000000,-11757,-11205,-10336,-9414,-8767,-7767,-6728,-6012,-4921,-3806,-3051,-1912,-765,0,1141,2274
24909000000,3019,4120,5195,5891,6908,7885,8505,9400,10241,10762,11501,12175,12780,13134,13617,14024
24911000000,14241,14517,14712,14786,14846,14826,14755,14600,14367,14157,13797,13363,13023,12474,11860,11406
24912000000,10692,9924,9376,8527,7638,7017,6070,5095,4428,3420,2399,1712,683,-342,-1021,-2030
24914000000,-3022,-3667,-4618,-5538,-6124,-6980,-7793,-8300,-9030,-9706,-10114,-10693,-11209,-11505,-11912,-12252
24916000000,-12426,-12650,-12803,-12851,-12886,-12851,-12774,-12623,-12405,-12208,-11882,-11493,-11187,-10701,-10161,-9760
24917000000,-9137,-8469,-7991,-7259,-6493,-5958,-5147,-4315,-3745,-2889,-2025,-1156,-577,285,1139,1699
24919000000,2527,3333,3852,4613,5342,5801,6468,7093,7475,8024,8525,8817,9231,9591,9784,10050
24921000000,10259,10349,10461,10515,10502,10459,10361,10247,10057,9814,9608,9281,8908,8619,8173,7687
