valid, idx, real, imag
1,           2,   3660,   -283
1,           3,   3615,    579
1,           0,   3423,   1424
1,           1,   2990,   2179
1,           2,   2426,   2851
1,           3,   1689,   3329
1,           0,    875,   3679
1,           1,     -7,   3774
1,           2,   -899,   3712
1,           3,  -1736,   3390
1,           0,  -2511,   2928
1,           1,  -3119,   2257
1,           2,  -3601,   1483
1,           3,  -3838,    601
1,           0,  -3921,   -318
1,           1,  -3731,  -1222
1,           2,  -3382,  -2083
1,           3,  -2793,  -2808
1,           0,  -2089,  -3423
1,           1,  -1229,  -3809
1,           2,   -310,  -4036
1,           3,    639,  -3986
1,           0,   1571,  -3774
1,           1,   2404,  -3295
1,           2,   3142,  -2674
1,           3,   3669,  -1860
1,           0,   4052,   -963
1,           1,   4156,     11
1,           2,   4086,    992
1,           3,   3729,   1914
1,           0,   3219,   2765
1,           1,   2479,   3434
1,           2,   1628,   3963
1,           3,    654,   4221
1,           0,   -351,   4310
1,           1,  -1345,   4101
1,           2,  -2292,   3716
1,           3,  -3086,   3069
1,           0,  -3765,   2290
1,           1,  -4187,   1344
1,           2,  -4436,    334
1,           3,  -4378,   -709
1,           0,  -4143,  -1731
1,           1,  -3617,  -2643
1,           2,  -2932,  -3454
1,           3,  -2040,  -4031
1,           0,  -1053,  -4450
1,           1,     14,  -4562
1,           2,   1092,  -4483
1,           3,   2101,  -4091
1,           0,   3034,  -3531
1,           1,   3766,  -2718
1,           2,   4345,  -1784
1,           3,   4627,   -717
1,           0,   4723,    389
1,           1,   4492,   1477
1,           2,   4068,   2514
1,           3,   3358,   3383
1,           0,   2506,   4122
1,           1,   1470,   4584
1,           2,    364,   4854
1,           3,   -778,   4790
1,           0,  -1898,   4531
1,           1,  -2897,   3953
1,           2,  -3781,   3204
1,           3,  -4412,   2225
1,           0,  -4867,   1148
1,           1,  -4989,    -19
1,           2,  -4901,  -1198
1,           3,  -4473,  -2300
1,           0,  -3858,  -3321
1,           1,  -2969,  -4119
1,           2,  -1946,  -4751
1,           3,   -781,  -5057
1,           0,    429,  -5161
1,           1,   1618,  -4904
1,           2,   2747,  -4440
1,           3,   3697,  -3664
1,           0,   4502,  -2734
1,           1,   5003,  -1602
1,           2,   5297,   -395
1,           3,   5225,    851
1,           0,   4941,   2071
1,           1,   4308,   3160
1,           2,   3491,   4124
1,           3,   2422,   4810
1,           0,   1247,   5304
1,           1,    -27,   5434
1,           2,  -1308,   5336
1,           3,  -2511,   4867
1,           0,  -3621,   4197
1,           1,  -4489,   3226
1,           2,  -5174,   2113
1,           3,  -5506,    843
1,           0,  -5617,   -472
1,           1,  -5336,  -1767
1,           2,  -4830,  -2996
1,           3,  -3982,  -4027
1,           0,  -2970,  -4901
1,           1,  -1738,  -5444
1,           2,   -425,  -5762
1,           3,    930,  -5682
1,           0,   2255,  -5370
1,           1,   3436,  -4682
1,           2,   4484,  -3790
1,           3,   5226,  -2630
1,           0,   5763,  -1350
1,           1,   5902,     32
1,           2,   5793,   1426
1,           3,   5281,   2728
1,           0,   4552,   3931
1,           1,   3497,   4871
1,           2,   2288,   5614
1,           3,    909,   5971
1,           0,   -515,   6090
1,           1,  -1916,   5785
1,           2,  -3250,   5234
1,           3,  -4365,   4315
1,           0,  -5315,   3213
1,           1,  -5901,   1877
1,           2,  -6243,    453
1,           3,  -6154,  -1014
1,           0,  -5813,  -2452
1,           1,  -5066,  -3729
1,           2,  -4099,  -4861
1,           3,  -2841,  -5662
1,           0,  -1456,  -6241
1,           1,     42,  -6389
1,           2,   1547,  -6269
1,           3,   2958,  -5712
1,           0,   4257,  -4920
1,           1,   5273,  -3778
1,           2,   6073,  -2469
1,           3,   6458,   -978
1,           0,   6582,    562
1,           1,   6249,   2078
1,           2,   5651,   3516
1,           3,   4655,   4721
1,           0,   3467,   5741
1,           1,   2025,   6372
1,           2,    485,   6740
1,           3,  -1097,   6642
1,           0,  -2651,   6272
1,           1,  -4030,   5461
1,           2,  -5249,   4417
1,           3,  -6112,   3056
1,           0,  -6732,   1564
1,           1,  -6889,    -50
1,           2,  -6757,  -1676
1,           3,  -6157,  -3193
1,           0,  -5302,  -4593
1,           1,  -4071,  -5684
1,           2,  -2658,  -6547
1,           3,  -1053,  -6959
1,           0,    611,  -7092
1,           1,   2241,  -6730
1,           2,   3791,  -6083
1,           3,   5085,  -5012
1,           0,   6183,  -3728
1,           1,   6858,  -2175
1,           2,   7252,   -517
1,           3,   7145,   1184
1,           0,   6744,   2852
1,           1,   5871,   4335
1,           2,   4747,   5644
1,           3,   3283,   6571
1,           0,   1678,   7235
1,           1,    -59,   7402
1,           2,  -1803,   7259
1,           3,  -3436,   6611
1,           0,  -4938,   5690
1,           1,  -6108,   4366
1,           2,  -7032,   2847
1,           3,  -7471,   1123
1,           0,  -7611,   -664
1,           1,  -7221,  -2412
1,           2,  -6525,  -4074
1,           3,  -5372,  -5462
1,           0,  -3991,  -6639
1,           1,  -2321,  -7360
1,           2,   -546,  -7779
1,           3,   1281,  -7660
1,           0,   3066,  -7228
1,           1,   4651,  -6290
1,           2,   6053,  -5081
1,           3,   7042,  -3514
1,           0,   7753,  -1790
1,           1,   7927,     67
1,           2,   7771,   1938
1,           3,   7075,   3682
1,           0,   6084,   5291
1,           1,   4665,   6541
1,           2,   3038,   7526
1,           3,   1193,   7993
1,           0,   -713,   8140
1,           1,  -2585,   7719
1,           2,  -4359,   6973
1,           3,  -5844,   5738
1,           0,  -7100,   4259
1,           1,  -7868,   2476
1,           2,  -8312,    576
1,           3,  -8183,  -1373
1,           0,  -7718,  -3283
1,           1,  -6712,  -4976
1,           2,  -5421,  -6470
1,           3,  -3743,  -7525
1,           0,  -1905,  -8279
1,           1,     82,  -8462
1,           2,   2075,  -8293
1,           3,   3937,  -7546
1,           0,   5649,  -6488
1,           1,   6982,  -4969
1,           2,   8028,  -3235
1,           3,   8524,  -1263
1,           0,   8677,    765
1,           1,   8226,   2757
1,           2,   7428,   4650
1,           3,   6110,   6227
1,           0,   4535,   7563
1,           1,   2631,   8380
1,           2,    609,   8850
1,           3,  -1469,   8709
1,           0,  -3498,   8213
1,           1,  -5296,   7142
1,           2,  -6887,   5764
1,           3,  -8006,   3981
1,           0,  -8807,   2021
1,           1,  -9000,    -92
1,           2,  -8817,  -2211
1,           3,  -8020,  -4191
1,           0,  -6892,  -6011
1,           1,  -5278,  -7423
1,           2,  -3431,  -8535
1,           3,  -1339,  -9059
1,           0,    819,  -9217
1,           1,   2938,  -8735
1,           2,   4944,  -7885
1,           3,   6619,  -6482
1,           0,   8031,  -4809
1,           1,   8895,  -2787
1,           2,   9392,   -641
1,           3,   9240,   1564
1,           0,   8709,   3715
1,           1,   7571,   5621
1,           2,   6107,   7306
1,           3,   4214,   8491
1,           0,   2132,   9338
1,           1,   -105,   9537
1,           2,  -2354,   9339
1,           3,  -4447,   8493
1,           0,  -6375,   7294
1,           1,  -7869,   5579
1,           2,  -9041,   3624
1,           3,  -9593,   1405
1,           0,  -9756,   -881
